"513.9878540039062,","34.4605712890625,",548.4484253
"508.2088623046875,","35.89130401611328,",544.1001587
"503.5438232421875,","30.25060272216797,",533.7944336
"500.6996765136719,","25.17638397216797,",525.8760376
"497.84228515625,","33.266197204589844,",531.1084595
"496.4497985839844,","33.23454284667969,",529.6843262
"493.90081787109375,","26.891921997070312,",520.7927246
"492.69012451171875,","23.927227020263672,",516.6173706
"490.7453308105469,","30.567289352416992,",521.3126221
"488.77215576171875,","29.69695281982422,",518.4691162
"487.5949401855469,","26.334362030029297,",513.9293213
"485.70184326171875,","22.36318588256836,",508.065033
"483.6555480957031,","22.467796325683594,",506.1233521
"483.0694274902344,","25.049833297729492,",508.1192627
"481.3637390136719,","25.654327392578125,",507.0180664
"480.51593017578125,","15.235376358032227,",495.7513123
"478.2320251464844,","22.83247184753418,",501.0644836
"478.6708068847656,","21.97146224975586,",500.6422729
"475.67144775390625,","21.4011173248291,",497.0725708
"475.315673828125,","15.341684341430664,",490.6573486
"474.0898742675781,","16.908296585083008,",490.9981689
"473.6717834472656,","17.657930374145508,",491.3297119
"472.2182922363281,","16.374168395996094,",488.5924683
"471.5188903808594,","11.272109031677246,",482.7909851
"470.3258056640625,","13.582742691040039,",483.9085388
"470.634033203125,","17.23784065246582,",487.8718872
"469.63018798828125,","13.967761993408203,",483.5979614
"469.2758483886719,","9.743319511413574,",479.019165
"468.1283264160156,","13.990443229675293,",482.1187744
"467.682861328125,","12.420307159423828,",480.1031799
"466.1970520019531,","9.268303871154785,",475.4653625
"467.1990051269531,","11.099332809448242,",478.2983398
"466.23590087890625,","12.020715713500977,",478.2566223
"466.1966857910156,","12.35445785522461,",478.5511475
"466.6337585449219,","7.709102630615234,",474.342865
"466.619384765625,","9.069952011108398,",475.6893311
"465.7256164550781,","9.37951374053955,",475.1051331
"466.21148681640625,","8.418671607971191,",474.6301575
"467.0214538574219,","7.326781272888184,",474.3482361
